Team,Attacking - Assists,Attacking - Attempts At Goal,Attacking - Attempts At Goal Conv. Rate (%),Attacking - Attempts Inside the Penalty Area,Attacking - Attempts On Target,Attacking - Attempts Outside the Penalty Area,Attacking - Corners,Attacking - Goals,Attacking - Headed Attempts at Goal,Attacking - Off-Target Attempts,Attacking - Possession Control (%),Attacking - Rank,Attacking - xG,Attacking - xG Efficiency,Distribution - Rank,Distribution - Crosses,Distribution - Crossing Accuracy (%),Distribution - Defensive Linebreaks Acc (%),Distribution - Defensive Linebreaks Attempted,Distribution - Passes,Distribution - Passing Accuracy (%),Distribution - Switches of Play Acc (%),Distribution - Switches of Play Attempted,Defending - Rank,Defending - Ball Recovery Time (s),Defending - Defensive Pressures Applied,Defending - Defensive Pressures Directly Applied,Defending - Forced Turnovers,Defending - Goals Conceded,Defending - Own Goals,Discipline - Rank,Discipline - Fouls Against,Discipline - Fouls For,Discipline - Indirect Red Cards,Discipline - Offsides,Discipline - Red Cards,Discipline - Yellow Cards,Goalkeeping - Rank,Goalkeeping - Goals Conceded,Goalkeeping - Clean Sheets,Goalkeeping - Goalkeeper Actions Inside the Penalty Area,Goalkeeping - Goalkeeper Actions Outside the Penalty Area,Goalkeeping - Goalkeeper Save Percentage (%),Goalkeeping - Goalkeeper Saves,Movement - Rank,Movement - Offers In Behind,Movement - Offers In Between,Movement - Offers In Front,Movement - Offers Inside Team Shape,Movement - Offers Outside Team Shape,Movement - Offers To Receive,Movement - Receptions Between Midfield And Defensive Line,Movement - Receptions In Behind,Movement - Receptions Under Pressure,Physical - Rank,Physical - Average Speed (km/h),Physical - High Speed Running,Physical - Sprints,Physical - Total Distance (m)
Algeria,3.0,36.0,14.0,21.0,14.0,15.0,12.0,5.0,5.0,14.0,58.0,19.0,3.99,1.25,6.0,32.0,16.0,58.0,57.0,2070.0,91.0,95.0,19.0,12.0,46.08,749.0,115.0,134.0,7.0,0.0,47.0,17.0,30.0,0.0,2.0,0.0,1.0,27.0,7.0,0.0,36.0,33.0,1.0,6.0,15.0,340.0,496.0,396.0,687.0,545.0,1232.0,287.0,31.0,685.0,34.0,5.94,3638.0,1240.0,330809.85
Argentina,3.0,35.0,23.0,20.0,15.0,15.0,9.0,8.0,4.0,15.0,53.0,7.0,6.55,1.22,9.0,21.0,33.0,54.0,41.0,1966.0,91.0,85.0,13.0,12.0,48.34,701.0,131.0,129.0,1.0,0.0,30.0,33.0,31.0,0.0,8.0,0.0,2.0,3.0,1.0,2.0,31.0,26.0,100.0,1.0,13.0,260.0,542.0,483.0,705.0,580.0,1285.0,308.0,23.0,659.0,46.0,5.71,3329.0,1099.0,318655.05
Australia,1.0,26.0,8.0,16.0,11.0,10.0,12.0,2.0,3.0,12.0,35.0,33.0,1.99,1.0,37.0,47.0,28.0,50.0,50.0,1127.0,81.0,56.0,16.0,2.0,52.57,856.0,130.0,118.0,2.0,1.0,26.0,34.0,24.0,0.0,1.0,0.0,5.0,3.0,2.0,2.0,65.0,56.0,3.0,11.0,45.0,155.0,298.0,205.0,349.0,309.0,658.0,241.0,24.0,573.0,8.0,6.15,4023.0,1375.0,345911.08
Austria,4.0,26.0,23.0,15.0,8.0,11.0,10.0,6.0,5.0,14.0,44.0,14.0,3.63,1.65,27.0,48.0,21.0,62.0,60.0,1467.0,87.0,100.0,5.0,12.0,63.15,810.0,132.0,109.0,6.0,0.0,32.0,32.0,20.0,0.0,6.0,0.0,4.0,27.0,6.0,0.0,49.0,44.0,2.0,8.0,31.0,267.0,371.0,337.0,549.0,426.0,975.0,301.0,43.0,603.0,28.0,5.99,3776.0,1274.0,341426.82
Belgium,3.0,73.0,8.0,50.0,21.0,23.0,14.0,6.0,8.0,30.0,52.0,14.0,6.55,0.92,19.0,75.0,28.0,57.0,76.0,1643.0,88.0,79.0,14.0,12.0,39.11,597.0,89.0,130.0,2.0,0.0,39.0,29.0,33.0,0.0,4.0,1.0,3.0,15.0,2.0,1.0,52.0,42.0,2.0,8.0,10.0,461.0,452.0,402.0,742.0,573.0,1315.0,411.0,44.0,599.0,3.0,6.25,4044.0,1447.0,344936.19
Bosnia and Herzegovina,3.0,27.0,19.0,12.0,11.0,15.0,12.0,5.0,5.0,10.0,38.0,19.0,1.83,2.73,35.0,47.0,19.0,41.0,44.0,1159.0,81.0,80.0,10.0,12.0,44.99,790.0,124.0,136.0,6.0,0.0,7.0,46.0,31.0,0.0,2.0,1.0,6.0,27.0,6.0,0.0,71.0,55.0,2.0,8.0,43.0,192.0,275.0,233.0,372.0,328.0,700.0,204.0,18.0,522.0,14.0,6.12,3592.0,1283.0,336456.49
Brazil,8.0,59.0,15.0,41.0,25.0,18.0,22.0,9.0,10.0,21.0,52.0,5.0,8.31,1.08,3.0,73.0,29.0,57.0,82.0,2395.0,90.0,94.0,18.0,12.0,71.12,937.0,145.0,148.0,2.0,0.0,11.0,44.0,48.0,0.0,10.0,0.0,7.0,3.0,2.0,2.0,54.0,47.0,3.0,12.0,2.0,413.0,637.0,605.0,951.0,704.0,1655.0,375.0,47.0,712.0,35.0,5.92,4919.0,1705.0,448014.6
Cabo Verde,0.0,33.0,6.0,15.0,7.0,18.0,9.0,2.0,4.0,14.0,36.0,33.0,2.04,0.98,41.0,32.0,28.0,34.0,44.0,1064.0,80.0,65.0,17.0,12.0,51.37,837.0,117.0,146.0,2.0,0.0,48.0,15.0,35.0,0.0,5.0,0.0,4.0,3.0,2.0,2.0,96.0,71.0,2.0,10.0,36.0,223.0,379.0,264.0,449.0,417.0,866.0,204.0,15.0,485.0,30.0,5.97,3419.0,1207.0,335193.42
Canada,3.0,71.0,13.0,51.0,29.0,20.0,39.0,9.0,15.0,27.0,49.0,5.0,8.33,1.08,16.0,131.0,25.0,56.0,94.0,1730.0,83.0,81.0,16.0,12.0,52.44,910.0,171.0,180.0,3.0,0.0,5.0,48.0,58.0,0.0,5.0,0.0,7.0,3.0,3.0,2.0,43.0,34.0,2.0,6.0,12.0,458.0,442.0,397.0,631.0,666.0,1297.0,463.0,60.0,715.0,13.0,6.12,5536.0,2032.0,454227.11
Colombia,4.0,59.0,7.0,35.0,20.0,24.0,14.0,4.0,7.0,23.0,56.0,25.0,4.55,0.88,20.0,48.0,29.0,45.0,58.0,1629.0,88.0,91.0,32.0,12.0,41.46,533.0,86.0,107.0,1.0,0.0,23.0,35.0,34.0,0.0,13.0,0.0,4.0,3.0,1.0,2.0,37.0,36.0,3.0,5.0,11.0,368.0,520.0,420.0,615.0,693.0,1308.0,318.0,33.0,519.0,48.0,5.63,3289.0,1146.0,315670.95
Congo DR,2.0,34.0,12.0,16.0,8.0,18.0,10.0,4.0,5.0,21.0,37.0,25.0,3.07,1.3,40.0,48.0,25.0,31.0,51.0,1078.0,81.0,79.0,14.0,12.0,62.71,898.0,119.0,136.0,3.0,0.0,32.0,32.0,34.0,0.0,5.0,0.0,5.0,27.0,3.0,0.0,55.0,45.0,89.0,10.0,34.0,268.0,415.0,242.0,538.0,387.0,925.0,236.0,16.0,448.0,33.0,5.94,3750.0,1354.0,333487.34
Croatia,5.0,24.0,21.0,11.0,11.0,13.0,7.0,5.0,4.0,9.0,49.0,19.0,2.24,2.23,26.0,45.0,18.0,52.0,61.0,1515.0,88.0,76.0,17.0,12.0,48.95,720.0,131.0,114.0,5.0,0.0,30.0,33.0,40.0,0.0,4.0,0.0,2.0,15.0,5.0,1.0,59.0,48.0,2.0,11.0,33.0,300.0,317.0,321.0,519.0,419.0,938.0,233.0,26.0,481.0,22.0,6.07,3743.0,1381.0,334228.99
Curaçao,0.0,29.0,3.0,14.0,7.0,15.0,5.0,1.0,4.0,18.0,32.0,44.0,1.7,0.59,46.0,21.0,29.0,40.0,40.0,968.0,80.0,100.0,7.0,12.0,56.6,983.0,160.0,121.0,9.0,0.0,32.0,32.0,31.0,0.0,5.0,0.0,7.0,15.0,9.0,1.0,81.0,72.0,2.0,21.0,47.0,189.0,289.0,143.0,346.0,275.0,621.0,228.0,17.0,524.0,45.0,5.74,3093.0,1230.0,315767.46
Czechia,2.0,34.0,6.0,22.0,8.0,12.0,15.0,2.0,10.0,15.0,37.0,33.0,2.44,0.82,38.0,50.0,32.0,38.0,45.0,1102.0,79.0,75.0,12.0,12.0,56.67,857.0,121.0,119.0,6.0,0.0,19.0,37.0,31.0,0.0,5.0,0.0,1.0,27.0,6.0,0.0,60.0,52.0,2.0,11.0,41.0,232.0,305.0,203.0,371.0,369.0,740.0,245.0,19.0,439.0,1.0,6.33,4330.0,1381.0,348826.43
Côte d'Ivoire,4.0,45.0,11.0,30.0,14.0,15.0,26.0,5.0,3.0,17.0,45.0,19.0,5.5,0.91,8.0,78.0,24.0,53.0,85.0,1970.0,88.0,92.0,13.0,12.0,70.71,1123.0,188.0,176.0,4.0,0.0,39.0,29.0,36.0,0.0,4.0,0.0,4.0,3.0,4.0,2.0,84.0,68.0,2.0,11.0,22.0,326.0,480.0,306.0,589.0,523.0,1112.0,424.0,46.0,861.0,42.0,5.81,4657.0,1692.0,434938.12
Ecuador,2.0,46.0,4.0,30.0,19.0,16.0,17.0,2.0,11.0,22.0,52.0,33.0,5.41,0.37,24.0,61.0,31.0,46.0,74.0,1565.0,87.0,83.0,6.0,12.0,41.94,734.0,168.0,141.0,2.0,0.0,23.0,35.0,27.0,0.0,1.0,0.0,5.0,15.0,2.0,1.0,51.0,47.0,2.0,11.0,25.0,246.0,435.0,384.0,582.0,483.0,1065.0,347.0,34.0,583.0,43.0,5.79,3490.0,1336.0,321972.91
Egypt,5.0,48.0,10.0,30.0,13.0,18.0,18.0,5.0,6.0,23.0,47.0,19.0,3.76,1.33,25.0,53.0,23.0,49.0,72.0,1543.0,87.0,96.0,23.0,2.0,43.68,676.0,143.0,155.0,3.0,1.0,26.0,34.0,42.0,0.0,1.0,0.0,6.0,27.0,3.0,0.0,64.0,56.0,2.0,9.0,23.0,270.0,387.0,438.0,537.0,558.0,1095.0,312.0,35.0,518.0,9.0,6.14,4068.0,1515.0,346823.8
England,5.0,58.0,10.0,46.0,20.0,12.0,24.0,6.0,16.0,26.0,60.0,14.0,6.72,0.89,17.0,76.0,28.0,68.0,84.0,1696.0,90.0,75.0,16.0,12.0,34.66,595.0,123.0,105.0,2.0,0.0,19.0,37.0,52.0,0.0,6.0,0.0,2.0,3.0,2.0,2.0,45.0,35.0,2.0,5.0,7.0,357.0,452.0,560.0,787.0,582.0,1369.0,299.0,53.0,612.0,11.0,6.13,3861.0,1505.0,340464.41
France,12.0,73.0,18.0,43.0,34.0,30.0,24.0,13.0,5.0,26.0,51.0,1.0,7.86,1.65,4.0,66.0,17.0,68.0,102.0,2285.0,90.0,96.0,23.0,12.0,61.43,981.0,167.0,174.0,2.0,0.0,16.0,38.0,29.0,0.0,7.0,0.0,1.0,3.0,2.0,2.0,42.0,36.0,2.0,9.0,6.0,413.0,449.0,558.0,810.0,610.0,1420.0,448.0,69.0,744.0,21.0,6.07,4675.0,1695.0,444687.06
Germany,10.0,74.0,15.0,48.0,28.0,26.0,34.0,11.0,12.0,26.0,56.0,2.0,8.64,1.27,1.0,108.0,22.0,56.0,81.0,2721.0,90.0,71.0,14.0,12.0,49.48,915.0,187.0,189.0,5.0,0.0,4.0,51.0,42.0,0.0,4.0,0.0,3.0,27.0,5.0,0.0,61.0,45.0,2.0,7.0,3.0,440.0,631.0,520.0,849.0,742.0,1591.0,550.0,45.0,942.0,2.0,6.29,5991.0,1990.0,508926.8
Ghana,2.0,15.0,13.0,11.0,3.0,4.0,6.0,2.0,3.0,6.0,33.0,33.0,2.07,0.96,45.0,33.0,24.0,51.0,45.0,1007.0,84.0,88.0,17.0,12.0,67.27,863.0,146.0,120.0,2.0,0.0,7.0,46.0,33.0,0.0,8.0,0.0,3.0,3.0,2.0,2.0,64.0,55.0,3.0,9.0,48.0,215.0,164.0,198.0,310.0,267.0,577.0,170.0,23.0,342.0,41.0,5.85,3429.0,1275.0,331255.68
Haiti,1.0,31.0,6.0,16.0,7.0,15.0,9.0,2.0,5.0,15.0,42.0,33.0,1.62,1.24,39.0,42.0,24.0,40.0,42.0,1098.0,85.0,100.0,13.0,12.0,49.18,810.0,143.0,113.0,8.0,0.0,1.0,55.0,43.0,0.0,7.0,0.0,7.0,27.0,8.0,0.0,56.0,48.0,2.0,13.0,37.0,252.0,350.0,232.0,429.0,405.0,834.0,212.0,13.0,407.0,31.0,5.96,3975.0,1376.0,334085.63
IR Iran,1.0,37.0,8.0,26.0,10.0,11.0,8.0,3.0,7.0,15.0,37.0,28.0,4.57,0.66,43.0,40.0,23.0,46.0,50.0,1051.0,77.0,79.0,14.0,12.0,47.85,874.0,148.0,132.0,3.0,0.0,23.0,35.0,23.0,0.0,9.0,0.0,6.0,15.0,3.0,1.0,75.0,65.0,2.0,15.0,39.0,227.0,264.0,270.0,356.0,405.0,761.0,229.0,28.0,446.0,20.0,6.08,4061.0,1347.0,344366.12
Iraq,1.0,21.0,5.0,12.0,2.0,9.0,7.0,1.0,6.0,13.0,37.0,44.0,2.11,0.47,36.0,24.0,29.0,44.0,48.0,1129.0,81.0,79.0,14.0,2.0,61.26,851.0,155.0,122.0,12.0,1.0,43.0,27.0,31.0,0.0,1.0,1.0,4.0,27.0,12.0,0.0,94.0,81.0,1.0,10.0,32.0,300.0,391.0,264.0,548.0,407.0,955.0,172.0,22.0,430.0,19.0,6.09,3746.0,1209.0,328508.46
Japan,7.0,32.0,25.0,16.0,11.0,16.0,13.0,8.0,5.0,15.0,42.0,7.0,3.17,2.52,15.0,62.0,26.0,47.0,74.0,1733.0,86.0,67.0,12.0,12.0,80.59,1118.0,191.0,139.0,5.0,0.0,1.0,55.0,31.0,0.0,4.0,0.0,4.0,15.0,5.0,1.0,78.0,64.0,2.0,17.0,5.0,392.0,576.0,511.0,872.0,607.0,1479.0,324.0,33.0,574.0,24.0,6.02,4678.0,1669.0,446744.57
Jordan,3.0,24.0,13.0,13.0,9.0,11.0,6.0,3.0,3.0,9.0,29.0,28.0,1.87,1.6,47.0,31.0,32.0,52.0,52.0,914.0,76.0,73.0,11.0,2.0,68.21,1148.0,166.0,139.0,8.0,1.0,36.0,31.0,23.0,0.0,3.0,0.0,4.0,27.0,8.0,0.0,70.0,56.0,1.0,8.0,40.0,210.0,323.0,208.0,351.0,390.0,741.0,186.0,27.0,465.0,12.0,6.13,4296.0,1363.0,347325.19
Korea Republic,2.0,32.0,6.0,21.0,11.0,11.0,12.0,2.0,9.0,13.0,56.0,33.0,3.38,0.59,12.0,64.0,28.0,60.0,65.0,1853.0,89.0,86.0,21.0,12.0,44.64,563.0,86.0,106.0,3.0,0.0,45.0,25.0,32.0,0.0,8.0,0.0,4.0,27.0,3.0,0.0,42.0,34.0,2.0,11.0,19.0,267.0,427.0,507.0,657.0,544.0,1201.0,274.0,40.0,678.0,17.0,6.09,3553.0,1298.0,334954.79
Mexico,5.0,35.0,17.0,23.0,13.0,12.0,4.0,6.0,6.0,15.0,48.0,14.0,4.22,1.42,30.0,32.0,25.0,37.0,52.0,1373.0,87.0,87.0,15.0,12.0,43.94,668.0,88.0,112.0,0.0,0.0,26.0,34.0,28.0,0.0,4.0,1.0,2.0,1.0,0.0,3.0,38.0,31.0,3.0,5.0,9.0,321.0,570.0,433.0,699.0,625.0,1324.0,295.0,21.0,530.0,10.0,6.14,3979.0,1318.0,338511.84
Morocco,6.0,59.0,12.0,35.0,21.0,24.0,24.0,7.0,8.0,19.0,55.0,11.0,5.55,1.26,2.0,77.0,27.0,53.0,79.0,2627.0,89.0,81.0,21.0,2.0,56.05,961.0,218.0,180.0,4.0,1.0,6.0,47.0,57.0,0.0,6.0,0.0,2.0,15.0,4.0,1.0,59.0,49.0,2.0,9.0,1.0,528.0,628.0,684.0,1041.0,799.0,1840.0,440.0,48.0,943.0,32.0,5.94,5228.0,2036.0,480903.65
Netherlands,10.0,46.0,24.0,35.0,22.0,11.0,18.0,11.0,14.0,15.0,50.0,2.0,5.0,2.2,7.0,79.0,27.0,60.0,78.0,2039.0,88.0,82.0,11.0,12.0,65.67,939.0,143.0,165.0,5.0,0.0,11.0,44.0,43.0,0.0,8.0,0.0,3.0,27.0,5.0,0.0,57.0,54.0,3.0,17.0,20.0,409.0,376.0,410.0,713.0,482.0,1195.0,380.0,47.0,642.0,44.0,5.77,4601.0,1590.0,455769.39
New Zealand,3.0,31.0,13.0,19.0,15.0,12.0,10.0,4.0,6.0,8.0,42.0,25.0,2.48,1.62,31.0,37.0,19.0,22.0,54.0,1335.0,83.0,75.0,8.0,12.0,47.94,844.0,140.0,118.0,10.0,0.0,32.0,32.0,23.0,0.0,4.0,0.0,4.0,27.0,10.0,0.0,97.0,88.0,2.0,11.0,28.0,263.0,471.0,328.0,559.0,503.0,1062.0,267.0,14.0,563.0,5.0,6.22,4280.0,1492.0,349040.82
Norway,7.0,43.0,23.0,35.0,21.0,8.0,17.0,10.0,9.0,14.0,47.0,4.0,7.66,1.31,13.0,52.0,37.0,43.0,70.0,1849.0,86.0,71.0,14.0,12.0,63.3,910.0,152.0,132.0,8.0,0.0,14.0,42.0,29.0,0.0,3.0,0.0,2.0,27.0,8.0,0.0,85.0,75.0,2.0,12.0,8.0,296.0,619.0,421.0,710.0,626.0,1336.0,413.0,32.0,759.0,7.0,6.19,5295.0,1853.0,464494.35
Panama,0.0,32.0,0.0,20.0,7.0,12.0,12.0,0.0,5.0,16.0,42.0,48.0,2.19,0.0,32.0,58.0,21.0,43.0,54.0,1259.0,83.0,70.0,27.0,12.0,46.44,753.0,175.0,147.0,4.0,0.0,7.0,46.0,33.0,0.0,6.0,0.0,5.0,27.0,4.0,0.0,48.0,42.0,2.0,9.0,35.0,239.0,366.0,284.0,418.0,471.0,889.0,248.0,28.0,532.0,23.0,6.04,3745.0,1372.0,336713.09
Paraguay,3.0,30.0,10.0,16.0,8.0,14.0,8.0,3.0,4.0,14.0,28.0,28.0,1.86,1.61,34.0,41.0,20.0,27.0,55.0,1169.0,72.0,80.0,15.0,2.0,68.31,1421.0,275.0,209.0,5.0,1.0,3.0,53.0,50.0,0.0,5.0,1.0,9.0,3.0,5.0,2.0,116.0,103.0,3.0,24.0,44.0,164.0,264.0,237.0,327.0,338.0,665.0,212.0,18.0,521.0,27.0,6.0,5248.0,1818.0,488152.5
Portugal,3.0,37.0,16.0,22.0,12.0,15.0,10.0,6.0,2.0,16.0,55.0,14.0,3.57,1.68,10.0,61.0,25.0,60.0,82.0,1899.0,92.0,84.0,25.0,12.0,49.01,683.0,96.0,103.0,1.0,0.0,39.0,29.0,34.0,0.0,7.0,0.0,4.0,3.0,1.0,2.0,63.0,54.0,3.0,9.0,17.0,382.0,478.0,350.0,677.0,533.0,1210.0,378.0,47.0,590.0,40.0,5.88,3395.0,1260.0,324019.59
Qatar,1.0,17.0,12.0,10.0,6.0,7.0,9.0,2.0,2.0,10.0,31.0,33.0,1.88,1.06,48.0,28.0,36.0,27.0,71.0,912.0,78.0,91.0,11.0,1.0,60.48,832.0,122.0,101.0,10.0,2.0,22.0,36.0,28.0,0.0,4.0,2.0,4.0,27.0,10.0,0.0,124.0,103.0,2.0,16.0,46.0,169.0,285.0,189.0,347.0,296.0,643.0,146.0,22.0,361.0,47.0,5.64,3584.0,1080.0,310036.75
Saudi Arabia,0.0,17.0,6.0,8.0,8.0,9.0,7.0,1.0,3.0,5.0,33.0,44.0,1.52,0.66,33.0,22.0,23.0,40.0,53.0,1175.0,78.0,67.0,12.0,2.0,53.18,1035.0,140.0,128.0,5.0,1.0,39.0,29.0,26.0,0.0,3.0,0.0,6.0,15.0,5.0,1.0,86.0,78.0,3.0,17.0,42.0,207.0,276.0,224.0,386.0,321.0,707.0,244.0,24.0,523.0,25.0,6.02,4110.0,1450.0,338484.3
Scotland,0.0,29.0,3.0,23.0,7.0,6.0,12.0,1.0,6.0,12.0,41.0,44.0,2.34,0.43,29.0,53.0,34.0,40.0,45.0,1377.0,87.0,71.0,17.0,12.0,70.31,775.0,109.0,107.0,4.0,0.0,14.0,42.0,39.0,0.0,2.0,0.0,5.0,15.0,4.0,1.0,75.0,64.0,2.0,9.0,29.0,231.0,400.0,409.0,558.0,482.0,1040.0,230.0,15.0,430.0,6.0,6.21,3766.0,1251.0,348567.52
Senegal,8.0,49.0,16.0,28.0,17.0,21.0,20.0,8.0,6.0,21.0,52.0,7.0,5.14,1.56,22.0,63.0,29.0,58.0,69.0,1610.0,88.0,96.0,23.0,12.0,45.34,703.0,108.0,113.0,6.0,0.0,46.0,24.0,28.0,0.0,8.0,0.0,2.0,15.0,6.0,1.0,53.0,40.0,2.0,9.0,24.0,343.0,370.0,353.0,628.0,438.0,1066.0,325.0,37.0,696.0,38.0,5.89,3738.0,1411.0,339841.4
South Africa,1.0,39.0,5.0,13.0,11.0,26.0,11.0,2.0,5.0,18.0,46.0,33.0,2.48,0.8,11.0,36.0,17.0,41.0,63.0,1855.0,85.0,85.0,27.0,12.0,73.07,1081.0,166.0,158.0,4.0,0.0,16.0,38.0,46.0,0.0,8.0,2.0,5.0,15.0,4.0,1.0,72.0,59.0,3.0,14.0,16.0,359.0,458.0,395.0,669.0,543.0,1212.0,283.0,29.0,634.0,37.0,5.9,5039.0,1884.0,429068.84
Spain,4.0,55.0,9.0,34.0,16.0,21.0,23.0,5.0,11.0,26.0,62.0,19.0,6.58,0.76,5.0,82.0,22.0,72.0,78.0,2191.0,92.0,95.0,21.0,12.0,32.04,629.0,102.0,146.0,0.0,0.0,26.0,34.0,15.0,0.0,6.0,0.0,2.0,1.0,0.0,3.0,43.0,31.0,3.0,6.0,4.0,469.0,498.0,620.0,938.0,649.0,1587.0,460.0,55.0,741.0,18.0,6.09,3716.0,1256.0,342164.48
Sweden,6.0,48.0,15.0,30.0,23.0,18.0,18.0,7.0,8.0,18.0,43.0,11.0,4.66,1.5,23.0,62.0,19.0,45.0,75.0,1569.0,82.0,85.0,13.0,12.0,72.94,859.0,150.0,150.0,10.0,0.0,13.0,43.0,50.0,0.0,9.0,0.0,5.0,27.0,10.0,0.0,76.0,66.0,2.0,16.0,25.0,285.0,427.0,353.0,611.0,454.0,1065.0,338.0,35.0,620.0,29.0,5.99,4426.0,1586.0,439790.02
Switzerland,4.0,45.0,16.0,32.0,18.0,13.0,19.0,7.0,3.0,17.0,55.0,11.0,6.67,1.05,18.0,66.0,14.0,54.0,76.0,1663.0,88.0,90.0,21.0,2.0,36.08,615.0,123.0,137.0,3.0,1.0,19.0,37.0,42.0,0.0,5.0,0.0,3.0,27.0,3.0,0.0,38.0,34.0,3.0,11.0,27.0,337.0,407.0,319.0,629.0,434.0,1063.0,317.0,46.0,562.0,26.0,6.0,4041.0,1348.0,334171.2
Tunisia,2.0,18.0,11.0,6.0,6.0,12.0,9.0,2.0,4.0,8.0,36.0,33.0,1.12,1.78,44.0,35.0,23.0,38.0,40.0,1011.0,80.0,71.0,21.0,2.0,69.13,802.0,131.0,109.0,12.0,1.0,43.0,27.0,34.0,0.0,9.0,0.0,1.0,27.0,12.0,0.0,77.0,64.0,1.0,7.0,30.0,287.0,448.0,265.0,547.0,453.0,1000.0,196.0,18.0,405.0,16.0,6.09,3503.0,1213.0,333260.77
Türkiye,2.0,70.0,4.0,37.0,14.0,33.0,22.0,3.0,7.0,35.0,58.0,28.0,5.5,0.55,14.0,84.0,14.0,60.0,75.0,1844.0,87.0,73.0,30.0,12.0,29.94,490.0,123.0,121.0,5.0,0.0,36.0,31.0,38.0,0.0,7.0,0.0,2.0,27.0,5.0,0.0,55.0,46.0,2.0,8.0,14.0,409.0,428.0,438.0,681.0,594.0,1275.0,378.0,41.0,709.0,15.0,6.1,3548.0,1289.0,350818.34
USA,4.0,44.0,18.0,36.0,15.0,8.0,19.0,8.0,9.0,15.0,54.0,7.0,5.24,1.53,21.0,58.0,28.0,63.0,89.0,1628.0,87.0,81.0,16.0,12.0,36.41,638.0,139.0,136.0,4.0,0.0,16.0,38.0,42.0,0.0,8.0,0.0,5.0,15.0,4.0,1.0,38.0,32.0,100.0,3.0,18.0,337.0,474.0,396.0,658.0,549.0,1207.0,360.0,52.0,650.0,4.0,6.23,4388.0,1513.0,358610.48
Uruguay,1.0,49.0,6.0,27.0,13.0,22.0,26.0,3.0,15.0,25.0,51.0,28.0,3.95,0.76,28.0,87.0,21.0,64.0,74.0,1445.0,87.0,95.0,19.0,12.0,40.21,745.0,130.0,133.0,4.0,0.0,36.0,31.0,29.0,0.0,14.0,1.0,5.0,27.0,4.0,0.0,48.0,39.0,1.0,4.0,21.0,436.0,399.0,347.0,599.0,583.0,1182.0,311.0,45.0,586.0,39.0,5.88,3668.0,1448.0,337450.99
Uzbekistan,1.0,18.0,11.0,10.0,5.0,8.0,9.0,2.0,2.0,8.0,35.0,33.0,1.71,1.17,42.0,34.0,18.0,27.0,51.0,1059.0,78.0,76.0,17.0,2.0,50.0,944.0,142.0,135.0,11.0,1.0,10.0,45.0,29.0,0.0,3.0,0.0,4.0,27.0,11.0,0.0,82.0,65.0,100.0,6.0,38.0,197.0,382.0,222.0,456.0,345.0,801.0,246.0,16.0,458.0,36.0,5.9,3793.0,1354.0,337440.01
